review_title,review_text,review_rating
"
Good Clothing
","
Material was good, size was as expected
",4.0 out of 5 stars
"
Colour not received as ordered. Totally different colour
","
Quality and size is perfect but disappointed after opening the packet. The colour is not as ordered. Please care the customer's choice first.
",2.0 out of 5 stars
"
Good quality and nice colour jeans. This product is worth for money
","
Good quality and nice colour jeans. This product is worth for money
",4.0 out of 5 stars
"
Good product for affordable price
","
Nice fit... And colour doesn't fade.... Worth product in affordable price
",4.0 out of 5 stars
"
Good product though slightly tight on the thigh
","
Satisfied
",4.0 out of 5 stars
"
Value for money
","
Good
",4.0 out of 5 stars
"
Good For the Price !!
","
The Pant Was No Doubt A Good One And Also Of Perfect Size ! But I was Not Happy With the Stitches Of the Pant ..... The Threads Were Coming Out And Also Were Being Seen From Outside A Bit !
",4.0 out of 5 stars
"
Color down after 2-3 wash
","
Color down after 2-3 wash
",1.0 out of 5 stars
"
Great comfort
","
Very smooth
",5.0 out of 5 stars
"
Nice
","
OK
",5.0 out of 5 stars
"
Very poor fabric
","
The fabric is very poor quality
",1.0 out of 5 stars
"
Good cloth... Good fit... Good look and good prize 😍
","
Good cloth... Good fit... Good look.. Good color and good prize 😍
",5.0 out of 5 stars
"
Amazing product
","
Very nice colour
",5.0 out of 5 stars
"
Not a jeans
","
Not a jeans because the fabric is different
",1.0 out of 5 stars
"
Very low quilty
","
Poor colour
",1.0 out of 5 stars
